Simbol,Izdavatelj,ISIN,Broj izdanih,Nominala,Datum uvrštenja,url
HZVG,"HOTELI ŽIVOGOŠĆE, dioničko društvo",HRHZVGRA0002,302.760,"10,00 HRK",30.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=676
IGH,"INSTITUT IGH, dioničko društvo za istraživanje i razvoj u graditeljstvu",HRIGH0RA0006,613.709,"190,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=293
IKBA,ISTARSKA KREDITNA BANKA UMAG dioničko društvo,HRIKBARA0008,148.000,"1.100,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=294
ILRA,"ILIRIJA, dioničko društvo za ugostiteljstvo i turizam",HRILRARA0009,2.413.488,"0,00 HRK",28.10.2015,http://www.zse.hr/default.aspx?id=10006&dionica=307
IMZV,"IMUNOLOŠKI ZAVOD d.d. za proizvodnju lijekova, farmaceutskih proizvoda i znanstveno-istraživački rad
",HRIMZVRA0003,225.284,"380,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=683
INA,"INA-INDUSTRIJA NAFTE, d.d.",HRINA0RA0007,10.000.000,"900,00 HRK",1.12.2006,http://www.zse.hr/default.aspx?id=10006&dionica=472
INGR,"INGRA, dioničko društvo za izgradnju investicijskih objekata, uvoz, izvoz i zastupstva",HRINGRRA0001,13.545.200,"0,00 HRK",12.10.2015,http://www.zse.hr/default.aspx?id=10006&dionica=429
IPKK,TERMES GRUPA dioničko društvo,HRIPKKRA0000,715.090,"100,00 HRK",9.2.2005,http://www.zse.hr/default.aspx?id=10006&dionica=404
ISTR,"ISTRA d.d. trgovina na veliko i malo, export - import",HRISTRRA0001,64.980,"1.700,00 HRK",20.8.2007,http://www.zse.hr/default.aspx?id=10006&dionica=1056
JDGT,"JADROAGENT međunarodna pomorska i prometna agencija, d. d.",HRJDGTRA0000,110.845,"450,00 HRK",14.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=701
JDOS,ADRIATIC OSIGURANJE dioničko društvo,HRJDOSRA0001,125.000,"400,00 HRK",18.4.2007,http://www.zse.hr/default.aspx?id=10006&dionica=498
JDPL,JADROPLOV d.d. Međunarodni pomorski prijevoz,HRJDPLRA0007,1.636.674,"50,00 HRK",30.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=90
JDRF,"JADRAN FILM, dioničko društvo za proizvodnju i promet filmova i trgovinu",HRJDRFRA0003,163.470,"100,00 DEM",4.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=706
JDRN,"JADRAN, dioničko društvo za hotelijerstvo i turizam",HRJDRNRB0002,27.971.463,"0,00 HRK",8.1.2018,http://www.zse.hr/default.aspx?id=10006&dionica=1635
JDTC,JADRAN tvornica čarapa dioničko društvo,HRJDTCRA0004,141.633,"300,00 HRK",28.2.2000,http://www.zse.hr/default.aspx?id=10006&dionica=708
JLSA,JELSA dioničko društvo za hotelijerstvo,HRJLSARA0007,1.343.473,"10,00 HRK",18.3.1996,http://www.zse.hr/default.aspx?id=10006&dionica=92
JMNC,JAMNICA dioničko društvo za proizvodnju mineralnih voda,HRJMNCRA0009,22.126,"3.800,00 HRK",21.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=282
JNAF,"JADRANSKI NAFTOVOD, dioničko društvo",HRJNAFRA0000,1.007.658,"2.930,00 HRK",28.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=100
KABA,KARLOVAČKA BANKA dioničko društvo,HRKABARA0006,1.328.233,"10,00 HRK",4.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=191
KABA2,KARLOVAČKA BANKA dioničko društvo,HRKABAPA0008,10.824,"100,00 HRK",4.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=30
KBZ,"AGRAM BANKA, dioničko društvo
",HRKBZ0RA0005,1.937.753,"100,00 HRK",24.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=291
KODT,KONČAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,HRKODTRA0007,388.376,"300,00 HRK",12.3.2003,http://www.zse.hr/default.aspx?id=10006&dionica=233
KODT2,KONČAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,HRKODTPA0009,122.856,"300,00 HRK",12.3.2003,http://www.zse.hr/default.aspx?id=10006&dionica=234
KOEI,"KONČAR - ELEKTROINDUSTRIJA, d.d.",HRKOEIRA0009,2.572.119,"470,00 HRK",14.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=99
KOES,"KOESTLIN dioničko društvo,tvornica keksa i vafla",HRKOESRA0007,130.276,"0,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=723
KOKA,KOKA peradarsko prehrambena industrija dioničko društvo,HRKOKARA0009,903.220,"200,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=724
KRAS,KRAŠ prehrambena industrija d.d.,HRKRASRA0008,1.498.621,"400,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=15
KTJV,Kutjevo dioničko društvo za proizvodnju i promet poljoprivrednih i prehrambenih proizvoda,HRKTJVRA0002,5.726.429,"50,00 HRK",30.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=731
KTKS,KOTEKS import-export dioničko društvo za unutarnju i vanjsku trgovinu,HRKTKSRA0004,669.467,"50,00 HRK",25.9.2003,http://www.zse.hr/default.aspx?id=10006&dionica=358
LEDO,LEDO dioničko društvo za proizvodnju i promet sladoleda i smrznute hrane,HRLEDORA0003,313.920,"380,00 HRK",10.9.2018,http://www.zse.hr/default.aspx?id=10006&dionica=281
LKPC,LUKA PLOČE. dioničko društvo za usluge u pomorskom prometu. lučke usluge. skladištenje roba i špediciju,HRLKPCRA0005,422.967,"400,00 HRK",26.7.2005,http://www.zse.hr/default.aspx?id=10006&dionica=415
LKRI,"LUKA RIJEKA dioničko društvo za usluge u pomorskom prometu, lučke usluge, skladištenje roba i špediciju",HRLKRIRA0007,13.480.475,"40,00 HRK",11.8.2015,http://www.zse.hr/default.aspx?id=10006&dionica=273
LPLH,"LOŠINJSKA PLOVIDBA - HOLDING, dioničko društvo za pomorski prijevoz, brodogradnju i turizam",HRLPLHRA0009,662.416,"350,00 HRK",13.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=744
LRH,LIBURNIA RIVIERA HOTELI Dioničko društvo,HRLRH0RA0007,302.641,"2.300,00 HRK",18.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=32
LRHC,FTB TURIZAM dioničko društvo,HRLRHCRA0008,302.641,"670,00 HRK",8.11.2016,http://www.zse.hr/default.aspx?id=10006&dionica=1627
LURA,DUKAT mliječna industrija dioničko društvo,HRLURARA0003,3.000.000,"100,00 HRK",17.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=278
MAIS,MAISTRA dioničko društvo za hotelijerstvo i turizam,HRMAISRA0007,10.944.339,"0,00 HRK",15.3.2005,http://www.zse.hr/default.aspx?id=10006&dionica=408
MDKA,"MEDIKA, dioničko društvo za trgovinu lijekovima i sanitetskim materijalom",HRMDKARA0000,30.194,"6.930,00 HRK",20.10.2005,http://www.zse.hr/default.aspx?id=10006&dionica=290
